Date,Open,High,Low,Close
01/01/2021,"0.0047","0.0058","0.0046","0.0057"
12/31/2020,"0.0047","0.0047","0.0045","0.0047"
12/30/2020,"0.0045","0.0047","0.0044","0.0046"
12/29/2020,"0.0046","0.0046","0.0042","0.0045"
12/28/2020,"0.0045","0.0047","0.0045","0.0046"
12/27/2020,"0.0045","0.0048","0.0044","0.0045"
12/26/2020,"0.0046","0.0046","0.0044","0.0045"
12/25/2020,"0.0046","0.0047","0.0044","0.0046"
12/24/2020,"0.0037","0.0046","0.0037","0.0046"
12/23/2020,"0.0045","0.0048","0.0037","0.0038"
12/22/2020,"0.0048","0.0049","0.0043","0.0045"
12/21/2020,"0.0047","0.0054","0.0043","0.0048"
12/20/2020,"0.0039","0.0048","0.0038","0.0046"
12/19/2020,"0.0039","0.0043","0.0038","0.0039"
12/18/2020,"0.0037","0.0041","0.0037","0.0039"
12/17/2020,"0.0034","0.0044","0.0034","0.0037"
12/16/2020,"0.0032","0.0034","0.0032","0.0034"
12/15/2020,"0.0032","0.0033","0.0032","0.0032"
12/14/2020,"0.0032","0.0033","0.0032","0.0032"
12/13/2020,"0.0032","0.0033","0.0031","0.0033"
12/12/2020,"0.0031","0.0032","0.0031","0.0032"
12/11/2020,"0.0031","0.0031","0.0030","0.0031"
12/10/2020,"0.0032","0.0032","0.0031","0.0031"
12/09/2020,"0.0031","0.0032","0.0030","0.0032"
12/08/2020,"0.0033","0.0034","0.0031","0.0032"
12/07/2020,"0.0034","0.0034","0.0033","0.0033"
12/06/2020,"0.0034","0.0035","0.0033","0.0034"
12/05/2020,"0.0033","0.0034","0.0033","0.0034"
12/04/2020,"0.0034","0.0034","0.0033","0.0033"
12/03/2020,"0.0034","0.0035","0.0034","0.0034"
12/02/2020,"0.0033","0.0034","0.0033","0.0034"
12/01/2020,"0.0036","0.0036","0.0032","0.0033"
11/30/2020,"0.0034","0.0036","0.0034","0.0035"
11/29/2020,"0.0034","0.0036","0.0033","0.0034"
11/28/2020,"0.0033","0.0035","0.0032","0.0034"
11/27/2020,"0.0033","0.0034","0.0031","0.0033"
11/26/2020,"0.0037","0.0038","0.0029","0.0032"
11/25/2020,"0.0043","0.0043","0.0036","0.0037"
11/24/2020,"0.0038","0.0043","0.0035","0.0043"
11/23/2020,"0.0033","0.0037","0.0032","0.0037"
11/22/2020,"0.0036","0.0037","0.0032","0.0034"
11/21/2020,"0.0030","0.0036","0.0030","0.0035"
11/20/2020,"0.0029","0.0031","0.0029","0.0030"
11/19/2020,"0.0029","0.0030","0.0029","0.0029"
11/18/2020,"0.0030","0.0030","0.0028","0.0029"
11/17/2020,"0.0029","0.0030","0.0029","0.0030"
11/16/2020,"0.0028","0.0030","0.0028","0.0029"
11/15/2020,"0.0028","0.0028","0.0027","0.0028"
11/14/2020,"0.0028","0.0028","0.0027","0.0028"
11/13/2020,"0.0028","0.0028","0.0028","0.0028"
11/12/2020,"0.0027","0.0028","0.0027","0.0028"
11/11/2020,"0.0028","0.0029","0.0028","0.0028"
11/10/2020,"0.0027","0.0029","0.0027","0.0028"
11/09/2020,"0.0027","0.0028","0.0027","0.0027"
11/08/2020,"0.0027","0.0028","0.0027","0.0027"
11/07/2020,"0.0028","0.0028","0.0026","0.0027"
11/06/2020,"0.0026","0.0028","0.0026","0.0028"
11/05/2020,"0.0026","0.0027","0.0025","0.0027"
11/04/2020,"0.0025","0.0026","0.0025","0.0025"
11/03/2020,"0.0025","0.0025","0.0025","0.0025"
11/02/2020,"0.0026","0.0026","0.0025","0.0025"
11/01/2020,"0.0026","0.0026","0.0026","0.0026"
10/31/2020,"0.0026","0.0026","0.0026","0.0026"
10/30/2020,"0.0026","0.0026","0.0025","0.0026"
10/29/2020,"0.0026","0.0026","0.0025","0.0026"
10/28/2020,"0.0027","0.0027","0.0026","0.0026"
10/27/2020,"0.0027","0.0027","0.0026","0.0027"
10/26/2020,"0.0027","0.0029","0.0026","0.0027"
10/25/2020,"0.0026","0.0027","0.0026","0.0027"
10/24/2020,"0.0026","0.0027","0.0026","0.0026"
10/23/2020,"0.0026","0.0027","0.0026","0.0026"
10/22/2020,"0.0027","0.0027","0.0026","0.0026"
10/21/2020,"0.0026","0.0032","0.0026","0.0026"
10/20/2020,"0.0026","0.0026","0.0026","0.0026"
10/19/2020,"0.0026","0.0026","0.0026","0.0026"
10/18/2020,"0.0026","0.0026","0.0026","0.0026"
10/17/2020,"0.0026","0.0026","0.0026","0.0026"
10/16/2020,"0.0026","0.0026","0.0026","0.0026"
10/15/2020,"0.0026","0.0026","0.0026","0.0026"
10/14/2020,"0.0026","0.0026","0.0026","0.0026"
10/13/2020,"0.0027","0.0027","0.0026","0.0026"
10/12/2020,"0.0027","0.0027","0.0026","0.0027"
10/11/2020,"0.0027","0.0027","0.0027","0.0027"
10/10/2020,"0.0027","0.0027","0.0027","0.0027"
10/09/2020,"0.0026","0.0027","0.0026","0.0027"
10/08/2020,"0.0026","0.0026","0.0026","0.0026"
10/07/2020,"0.0026","0.0026","0.0026","0.0026"
10/06/2020,"0.0026","0.0026","0.0026","0.0026"
10/05/2020,"0.0026","0.0026","0.0026","0.0026"
10/04/2020,"0.0026","0.0027","0.0026","0.0026"
10/03/2020,"0.0026","0.0026","0.0026","0.0026"
10/02/2020,"0.0026","0.0026","0.0025","0.0026"
10/01/2020,"0.0027","0.0027","0.0026","0.0026"
09/30/2020,"0.0027","0.0027","0.0026","0.0026"
09/29/2020,"0.0027","0.0027","0.0027","0.0027"
09/28/2020,"0.0027","0.0027","0.0027","0.0027"
09/27/2020,"0.0027","0.0027","0.0027","0.0027"
09/26/2020,"0.0027","0.0027","0.0027","0.0027"
09/25/2020,"0.0026","0.0027","0.0026","0.0027"
09/24/2020,"0.0025","0.0026","0.0025","0.0026"
09/23/2020,"0.0026","0.0026","0.0025","0.0025"
09/22/2020,"0.0026","0.0027","0.0026","0.0026"
09/21/2020,"0.0028","0.0028","0.0025","0.0026"
09/20/2020,"0.0028","0.0028","0.0027","0.0028"
09/19/2020,"0.0028","0.0028","0.0028","0.0028"
09/18/2020,"0.0028","0.0028","0.0027","0.0028"
09/17/2020,"0.0028","0.0029","0.0028","0.0028"
09/16/2020,"0.0028","0.0028","0.0028","0.0028"
09/15/2020,"0.0028","0.0029","0.0028","0.0028"
09/14/2020,"0.0028","0.0028","0.0027","0.0028"
09/13/2020,"0.0028","0.0028","0.0027","0.0028"
09/12/2020,"0.0028","0.0028","0.0028","0.0028"
09/11/2020,"0.0028","0.0028","0.0027","0.0028"
09/10/2020,"0.0028","0.0028","0.0028","0.0028"
09/09/2020,"0.0027","0.0028","0.0027","0.0028"
09/08/2020,"0.0028","0.0028","0.0027","0.0027"
09/07/2020,"0.0028","0.0028","0.0027","0.0028"
09/06/2020,"0.0027","0.0028","0.0027","0.0028"
09/05/2020,"0.0029","0.0029","0.0027","0.0028"
09/04/2020,"0.0028","0.0029","0.0027","0.0029"
09/03/2020,"0.0031","0.0031","0.0027","0.0029"
09/02/2020,"0.0033","0.0033","0.0030","0.0031"
09/01/2020,"0.0032","0.0033","0.0032","0.0033"
08/31/2020,"0.0033","0.0033","0.0032","0.0032"
08/30/2020,"0.0033","0.0033","0.0032","0.0033"
08/29/2020,"0.0033","0.0033","0.0032","0.0033"
08/28/2020,"0.0032","0.0033","0.0032","0.0032"
08/27/2020,"0.0033","0.0033","0.0031","0.0032"
08/26/2020,"0.0033","0.0033","0.0032","0.0033"
08/25/2020,"0.0034","0.0034","0.0032","0.0033"
08/24/2020,"0.0034","0.0035","0.0032","0.0034"
08/23/2020,"0.0034","0.0034","0.0034","0.0034"
08/22/2020,"0.0034","0.0035","0.0033","0.0034"
08/21/2020,"0.0034","0.0036","0.0034","0.0034"
