,open,high,low,subjectivity,polarity,compound,negative,neutral,positive,timestamp
0,264.1,265.0,254.4,1,1,1,1,1,1,2015-07-01
1,257.6,261.3,253.1,1,1,1,1,1,1,2015-07-02
2,254.9,256.7,252.4,1,1,1,1,1,1,2015-07-03
3,255.4,261.1,253.4,1,1,1,1,1,1,2015-07-04
4,260.5,274.1,257.6,1,1,1,1,1,1,2015-07-05
5,270.1,277.5,266.5,1,1,1,1,1,1,2015-07-06
6,269.1,271.3,263.2,1,1,1,1,1,1,2015-07-07
7,266.2,273.6,263.2,1,1,1,1,1,1,2015-07-08
8,268.6,272.3,265.1,1,1,1,1,1,1,2015-07-09
9,269.1,297.9,266.9,1,1,1,1,1,1,2015-07-10
10,283.6,298.8,282.3,1,1,1,1,1,1,2015-07-11
11,292.0,315.9,291.3,1,1,1,1,1,1,2015-07-12
12,310.4,310.9,276.9,1,1,1,1,1,1,2015-07-13
13,290.4,297.0,285.2,1,1,1,1,1,1,2015-07-14
14,287.0,292.9,283.2,1,1,1,1,1,1,2015-07-15
15,283.4,290.8,273.3,1,1,1,1,1,1,2015-07-16
16,276.6,280.8,271.2,1,1,1,1,1,1,2015-07-17
17,279.6,282.5,243.2,1,1,1,1,1,1,2015-07-18
18,274.0,277.1,271.9,1,1,1,1,1,1,2015-07-19
19,273.2,278.9,271.8,1,1,1,1,1,1,2015-07-20
20,277.7,281.0,274.2,1,1,1,1,1,1,2015-07-21
21,275.1,277.4,273.1,1,1,1,1,1,1,2015-07-22
22,276.5,277.9,274.5,1,1,1,1,1,1,2015-07-23
23,275.5,289.8,274.3,1,1,1,1,1,1,2015-07-24
24,288.4,291.2,284.7,1,1,1,1,1,1,2015-07-25
25,288.7,293.3,286.8,1,1,1,1,1,1,2015-07-26
26,291.8,295.8,285.4,1,1,1,1,1,1,2015-07-27
27,293.0,296.7,291.7,1,1,1,1,1,1,2015-07-28
28,293.7,294.7,286.9,1,1,1,1,1,1,2015-07-29
29,283.7,284.5,276.3,1,1,1,1,1,1,2015-08-01
30,281.4,285.0,278.9,1,1,1,1,1,1,2015-08-03
31,281.6,285.7,279.6,1,1,1,1,1,1,2015-08-04
32,284.3,285.5,280.5,1,1,1,1,1,1,2015-08-05
33,281.7,282.0,276.5,1,1,1,1,1,1,2015-08-06
34,278.0,279.6,274.3,1,1,1,1,1,1,2015-08-07
35,277.9,278.9,257.4,1,1,1,1,1,1,2015-08-08
36,258.6,266.8,258.6,1,1,1,1,1,1,2015-08-09
37,263.9,266.6,260.5,1,1,1,1,1,1,2015-08-10
38,263.3,269.9,261.4,1,1,1,1,1,1,2015-08-11
39,269.0,271.5,263.7,1,1,1,1,1,1,2015-08-12
40,267.7,268.4,261.3,1,1,1,1,1,1,2015-08-13
41,263.4,267.2,260.2,1,1,1,1,1,1,2015-08-14
42,265.0,266.5,259.4,1,1,1,1,1,1,2015-08-15
43,260.5,261.9,254.6,1,1,1,1,1,1,2015-08-16
44,257.1,259.9,252.9,1,1,1,1,1,1,2015-08-17
45,257.1,257.5,245.7,1,1,1,1,1,1,2015-08-18
46,246.7,247.9,214.3,1,1,1,1,1,1,2015-08-19
47,226.0,238.0,225.5,1,1,1,1,1,1,2015-08-20
48,234.7,236.3,230.5,1,1,1,1,1,1,2015-08-21
49,232.4,235.1,221.0,1,1,1,1,1,1,2015-08-22
50,229.5,232.7,224.3,1,1,1,1,1,1,2015-08-23
51,226.8,228.4,207.8,1,1,1,1,1,1,2015-08-24
52,211.4,226.6,196.3,1,1,1,1,1,1,2015-08-25
53,220.5,230.7,218.8,1,1,1,1,1,1,2015-08-26
54,225.0,228.4,222.0,1,1,1,1,1,1,2015-08-27
55,222.7,234.8,219.6,1,1,1,1,1,1,2015-08-28
56,231.6,233.1,226.4,1,1,1,1,1,1,2015-08-29
57,228.5,232.3,225.4,1,1,1,1,1,1,2015-08-30
58,228.4,231.8,224.2,1,1,1,1,1,1,2015-08-31
59,229.5,231.4,225.8,1,1,1,1,1,1,2015-09-01
60,227.2,230.6,225.6,1,1,1,1,1,1,2015-09-02
61,228.6,229.6,225.4,1,1,1,1,1,1,2015-09-03
62,226.2,231.1,225.8,1,1,1,1,1,1,2015-09-04
63,230.3,235.6,228.3,1,1,1,1,1,1,2015-09-05
64,233.7,243.6,234.7,1,1,1,1,1,1,2015-09-06
65,239.9,242.7,237.5,1,1,1,1,1,1,2015-09-07
66,239.6,246.4,239.2,1,1,1,1,1,1,2015-09-08
67,243.2,244.3,236.5,1,1,1,1,1,1,2015-09-09
68,237.4,240.6,234.3,1,1,1,1,1,1,2015-09-10
69,238.1,241.0,237.4,1,1,1,1,1,1,2015-09-11
70,239.9,240.3,233.3,1,1,1,1,1,1,2015-09-12
71,235.6,236.2,228.3,1,1,1,1,1,1,2015-09-13
72,230.2,232.6,226.0,1,1,1,1,1,1,2015-09-14
73,229.9,242.8,228.0,1,1,1,1,1,1,2015-09-15
74,229.5,230.9,225.1,1,1,1,1,1,1,2015-09-16
75,228.6,235.2,227.9,1,1,1,1,1,1,2015-09-17
76,232.7,234.7,230.6,1,1,1,1,1,1,2015-09-18
77,232.2,233.4,230.2,1,1,1,1,1,1,2015-09-19
78,231.1,232.7,229.9,1,1,1,1,1,1,2015-09-20
79,231.1,231.6,225.0,1,1,1,1,1,1,2015-09-21
80,226.3,233.2,224.1,1,1,1,1,1,1,2015-09-22
81,230.0,232.2,228.5,1,1,1,1,1,1,2015-09-23
82,229.9,235.8,229.6,1,1,1,1,1,1,2015-09-24
83,233.8,237.6,232.7,1,1,1,1,1,1,2015-09-25
84,235.0,235.7,232.7,1,1,1,1,1,1,2015-09-26
85,234.3,234.8,231.8,1,1,1,1,1,1,2015-09-27
86,232.5,240.4,232.4,1,1,1,1,1,1,2015-09-28
87,238.9,240.4,234.8,1,1,1,1,1,1,2015-09-29
88,236.7,237.8,234.4,1,1,1,1,1,1,2015-09-30
89,235.9,238.7,234.7,1,1,1,1,1,1,2015-10-01
90,237.1,238.4,235.1,1,1,1,1,1,1,2015-10-02
91,236.7,239.5,236.1,1,1,1,1,1,1,2015-10-03
92,238.6,277.6,237.5,1,1,1,1,1,1,2015-10-04
93,238.3,240.5,236.4,1,1,1,1,1,1,2015-10-05
94,240.1,247.6,239.4,1,1,1,1,1,1,2015-10-06
95,246.1,247.3,241.6,1,1,1,1,1,1,2015-10-07
96,243.0,244.8,241.6,1,1,1,1,1,1,2015-10-08
97,242.6,244.6,241.3,1,1,1,1,1,1,2015-10-09
98,244.0,245.9,242.9,1,1,1,1,1,1,2015-10-10
99,245.4,248.3,244.5,1,1,1,1,1,1,2015-10-11
100,247.6,248.0,244.6,1,1,1,1,1,1,2015-10-12
101,245.4,251.2,243.1,1,1,1,1,1,1,2015-10-13
102,248.8,255.1,248.3,1,1,1,1,1,1,2015-10-14
103,252.3,256.8,251.2,1,1,1,1,1,1,2015-10-15
104,254.4,267.3,253.9,1,1,1,1,1,1,2015-10-16
105,262.9,275.4,261.7,1,1,1,1,1,1,2015-10-17
106,269.6,272.4,259.5,1,1,1,1,1,1,2015-10-18
107,261.7,266.0,259.9,1,1,1,1,1,1,2015-10-19
108,263.8,272.1,262.7,1,1,1,1,1,1,2015-10-20
109,269.8,272.2,263.5,1,1,1,1,1,1,2015-10-21
110,267.1,278.7,266.8,1,1,1,1,1,1,2015-10-22
111,274.4,279.8,273.2,1,1,1,1,1,1,2015-10-23
112,276.9,283.0,277.0,1,1,1,1,1,1,2015-10-24
113,282.6,295.6,281.8,1,1,1,1,1,1,2015-10-25
114,287.9,287.6,279.6,1,1,1,1,1,1,2015-10-26
115,285.1,298.4,285.1,1,1,1,1,1,1,2015-10-27
116,294.7,307.5,294.0,1,1,1,1,1,1,2015-10-28
117,303.5,318.5,300.2,1,1,1,1,1,1,2015-10-29
118,313.6,334.9,310.8,1,1,1,1,1,1,2015-10-30
119,327.1,333.3,304.6,1,1,1,1,1,1,2015-10-31
120,311.2,324.3,304.7,1,1,1,1,1,1,2015-11-01
121,323.0,365.8,319.8,1,1,1,1,1,1,2015-11-02
122,359.3,416.8,354.6,1,1,1,1,1,1,2015-11-03
123,396.5,492.8,368.6,1,1,1,1,1,1,2015-11-04
124,400.9,447.2,366.1,1,1,1,1,1,1,2015-11-05
125,382.7,396.4,348.8,1,1,1,1,1,1,2015-11-06
126,369.8,391.8,369.0,1,1,1,1,1,1,2015-11-07
127,385.1,389.8,365.5,1,1,1,1,1,1,2015-11-08
128,371.6,385.1,360.2,1,1,1,1,1,1,2015-11-09
129,380.2,381.4,323.2,1,1,1,1,1,1,2015-11-10
130,336.7,341.8,292.4,1,1,1,1,1,1,2015-11-11
131,304.7,346.1,306.1,1,1,1,1,1,1,2015-11-12
132,333.9,341.8,323.9,1,1,1,1,1,1,2015-11-13
133,333.8,369.8,326.4,1,1,1,1,1,1,2015-11-14
134,331.8,334.8,314.2,1,1,1,1,1,1,2015-11-15
135,317.5,332.0,314.1,1,1,1,1,1,1,2015-11-16
136,330.2,342.9,328.1,1,1,1,1,1,1,2015-11-17
137,333.9,337.4,329.4,1,1,1,1,1,1,2015-11-18
138,335.9,335.6,323.4,1,1,1,1,1,1,2015-11-19
139,325.0,327.1,309.5,1,1,1,1,1,1,2015-11-20
140,321.1,328.4,318.4,1,1,1,1,1,1,2015-11-21
141,324.7,326.9,319.4,1,1,1,1,1,1,2015-11-22
142,322.8,325.0,319.9,1,1,1,1,1,1,2015-11-23
143,322.1,323.3,315.5,1,1,1,1,1,1,2015-11-24
144,318.4,330.0,315.7,1,1,1,1,1,1,2015-11-25
145,327.5,368.9,327.4,1,1,1,1,1,1,2015-11-26
146,353.7,363.9,345.1,1,1,1,1,1,1,2015-11-27
147,359.5,360.1,350.5,1,1,1,1,1,1,2015-11-28
148,355.8,372.8,354.5,1,1,1,1,1,1,2015-11-29
149,370.8,382.6,367.9,1,1,1,1,1,1,2015-11-30
150,378.0,379.0,353.7,1,1,1,1,1,1,2015-12-01
151,361.8,363.4,347.2,1,1,1,1,1,1,2015-12-02
152,360.0,371.4,355.5,1,1,1,1,1,1,2015-12-03
153,360.3,364.0,354.3,1,1,1,1,1,1,2015-12-04
154,361.7,390.3,361.5,1,1,1,1,1,1,2015-12-05
155,386.7,402.2,382.6,1,1,1,1,1,1,2015-12-06
156,393.4,398.7,381.7,1,1,1,1,1,1,2015-12-07
157,394.3,411.1,388.0,1,1,1,1,1,1,2015-12-08
158,410.7,424.6,403.3,1,1,1,1,1,1,2015-12-09
159,416.0,420.4,409.5,1,1,1,1,1,1,2015-12-10
160,415.5,453.4,413.7,1,1,1,1,1,1,2015-12-11
161,449.8,467.7,403.7,1,1,1,1,1,1,2015-12-12
162,432.3,441.0,420.8,1,1,1,1,1,1,2015-12-13
163,434.7,449.5,428.8,1,1,1,1,1,1,2015-12-14
164,442.0,464.2,440.7,1,1,1,1,1,1,2015-12-15
165,462.6,465.2,437.4,1,1,1,1,1,1,2015-12-16
166,454.0,458.4,447.3,1,1,1,1,1,1,2015-12-17
167,455.5,466.1,453.5,1,1,1,1,1,1,2015-12-18
168,463.2,466.0,452.3,1,1,1,1,1,1,2015-12-19
169,461.2,462.8,431.1,1,1,1,1,1,1,2015-12-20
170,441.8,445.5,424.0,1,1,1,1,1,1,2015-12-21
171,437.6,443.2,433.3,1,1,1,1,1,1,2015-12-22
172,437.0,444.8,434.3,1,1,1,1,1,1,2015-12-23
173,442.4,460.6,441.8,1,1,1,1,1,1,2015-12-24
174,453.0,457.4,449.5,1,1,1,1,1,1,2015-12-25
175,454.0,456.5,400.5,1,1,1,1,1,1,2015-12-26
176,415.4,425.5,406.1,1,1,1,1,1,1,2015-12-27
177,422.4,429.9,417.1,1,1,1,1,1,1,2015-12-28
178,421.8,433.6,419.3,1,1,1,1,1,1,2015-12-29
179,431.9,435.0,420.8,1,1,1,1,1,1,2015-12-30
180,427.1,433.1,417.1,1,1,1,1,1,1,2015-12-31
181,430.0,438.0,425.9,1,1,1,1,1,1,2016-01-01
182,434.0,437.4,430.7,1,1,1,1,1,1,2016-01-02
183,433.7,434.1,423.1,1,1,1,1,1,1,2016-01-03
184,430.7,435.3,428.6,1,1,1,1,1,1,2016-01-04
185,433.3,435.3,428.9,1,1,1,1,1,1,2016-01-05
186,431.2,432.1,425.0,1,1,1,1,1,1,2016-01-06
187,430.8,457.5,428.5,1,1,1,1,1,1,2016-01-07
188,457.0,462.9,446.5,1,1,1,1,1,1,2016-01-08
189,452.9,454.5,444.9,1,1,1,1,1,1,2016-01-09
190,448.3,448.9,438.6,1,1,1,1,1,1,2016-01-10
191,446.2,451.1,441.8,1,1,1,1,1,1,2016-01-11
192,447.7,448.4,443.1,1,1,1,1,1,1,2016-01-12
193,445.0,443.7,420.4,1,1,1,1,1,1,2016-01-13
194,432.2,433.7,427.0,1,1,1,1,1,1,2016-01-14
195,429.1,430.1,364.7,1,1,1,1,1,1,2016-01-15
196,372.3,386.7,350.4,1,1,1,1,1,1,2016-01-16
197,385.0,390.7,377.7,1,1,1,1,1,1,2016-01-17
198,382.5,387.3,373.2,1,1,1,1,1,1,2016-01-18
199,384.4,386.7,375.9,1,1,1,1,1,1,2016-01-19
