,open,high,low,subjectivity,polarity,compound,negative,neutral,positive,timestamp
0,316.763,340.177002,316.763,1,1,1,1,1,1,2017-11-14
1,330.166992,334.963989,327.52301,1,1,1,1,1,1,2017-11-17
2,331.980011,349.615997,327.687012,1,1,1,1,1,1,2017-11-18
3,347.401001,371.290985,344.73999,1,1,1,1,1,1,2017-11-19
4,367.442993,372.470001,350.692993,1,1,1,1,1,1,2017-11-21
5,412.501007,480.972992,402.757996,1,1,1,1,1,1,2017-11-24
6,475.675995,485.191986,461.053009,1,1,1,1,1,1,2017-11-25
7,465.973999,472.722992,451.605988,1,1,1,1,1,1,2017-11-26
8,471.531006,493.404999,468.484985,1,1,1,1,1,1,2017-11-27
9,480.518005,482.480011,466.346985,1,1,1,1,1,1,2017-11-28
10,473.281006,522.307007,425.071014,1,1,1,1,1,1,2017-11-29
11,431.214996,465.497009,401.243011,1,1,1,1,1,1,2017-11-30
12,445.209015,472.609009,428.312012,1,1,1,1,1,1,2017-12-01
13,462.604004,462.708008,420.209991,1,1,1,1,1,1,2017-12-06
14,426.368988,441.397003,414.411011,1,1,1,1,1,1,2017-12-07
15,700.593994,753.120972,664.989014,1,1,1,1,1,1,2017-12-14
16,686.192017,718.38501,680.786011,1,1,1,1,1,1,2017-12-16
17,696.237,735.825012,696.237,1,1,1,1,1,1,2017-12-17
18,721.731995,803.927979,689.231018,1,1,1,1,1,1,2017-12-18
19,793.901001,881.94397,785.34198,1,1,1,1,1,1,2017-12-19
20,827.515991,845.062012,756.004028,1,1,1,1,1,1,2017-12-20
21,681.315979,763.89502,679.731018,1,1,1,1,1,1,2017-12-23
22,698.869995,782.520996,698.869995,1,1,1,1,1,1,2017-12-25
23,763.369995,786.789978,760.934998,1,1,1,1,1,1,2017-12-26
24,762.208008,763.31897,701.187012,1,1,1,1,1,1,2017-12-28
25,740.388977,770.117004,729.607971,1,1,1,1,1,1,2017-12-29
26,712.211975,760.348022,710.119019,1,1,1,1,1,1,2017-12-31
27,772.346008,914.830017,772.346008,1,1,1,1,1,1,2018-01-02
28,886.0,974.471008,868.450989,1,1,1,1,1,1,2018-01-03
29,975.75,1075.390015,956.325012,1,1,1,1,1,1,2018-01-05
30,995.153992,1060.709961,994.622009,1,1,1,1,1,1,2018-01-06
31,1043.01001,1153.170044,1043.01001,1,1,1,1,1,1,2018-01-07
32,1158.26001,1266.930054,1016.049988,1,1,1,1,1,1,2018-01-08
33,1300.339966,1417.380005,1226.599976,1,1,1,1,1,1,2018-01-10
34,1268.089966,1337.300049,1135.170044,1,1,1,1,1,1,2018-01-11
35,1397.47998,1400.560059,1286.209961,1,1,1,1,1,1,2018-01-14
36,1365.209961,1390.589966,1290.599976,1,1,1,1,1,1,2018-01-15
37,1292.630005,1292.630005,875.544983,1,1,1,1,1,1,2018-01-16
38,1061.339966,1090.22998,780.921997,1,1,1,1,1,1,2018-01-17
39,1016.440002,1100.310059,967.758972,1,1,1,1,1,1,2018-01-18
40,1028.819946,1093.219971,1003.710022,1,1,1,1,1,1,2018-01-19
41,1044.949951,1167.109985,1044.949951,1,1,1,1,1,1,2018-01-20
42,1155.680054,1155.680054,1021.5,1,1,1,1,1,1,2018-01-21
43,1004.169983,1023.22998,920.539978,1,1,1,1,1,1,2018-01-23
44,987.47699,1062.439941,965.807983,1,1,1,1,1,1,2018-01-24
45,1111.780029,1257.77002,1111.780029,1,1,1,1,1,1,2018-01-28
46,1184.130005,1184.630005,1058.969971,1,1,1,1,1,1,2018-01-30
47,1119.369995,1161.349976,984.81897,1,1,1,1,1,1,2018-02-01
48,919.210999,991.942993,847.690002,1,1,1,1,1,1,2018-02-03
49,964.666992,969.031982,805.064026,1,1,1,1,1,1,2018-02-04
50,834.958008,856.645996,644.598999,1,1,1,1,1,1,2018-02-05
51,755.843018,845.085999,755.843018,1,1,1,1,1,1,2018-02-08
52,818.47998,884.004028,788.833984,1,1,1,1,1,1,2018-02-09
53,882.46698,917.400024,825.577026,1,1,1,1,1,1,2018-02-10
54,859.288025,859.288025,788.221985,1,1,1,1,1,1,2018-02-11
55,869.29303,870.708984,828.836975,1,1,1,1,1,1,2018-02-13
56,844.278992,926.429016,844.278992,1,1,1,1,1,1,2018-02-14
57,923.728027,951.947998,911.111023,1,1,1,1,1,1,2018-02-15
58,934.786011,950.005005,917.848022,1,1,1,1,1,1,2018-02-16
59,921.66803,957.776978,921.554016,1,1,1,1,1,1,2018-02-19
60,811.585022,886.317993,794.791016,1,1,1,1,1,1,2018-02-23
61,861.593018,879.531006,818.549988,1,1,1,1,1,1,2018-02-24
62,839.458984,853.145996,822.380981,1,1,1,1,1,1,2018-02-25
63,870.36499,896.258972,867.096985,1,1,1,1,1,1,2018-02-27
64,871.763977,876.377991,852.421997,1,1,1,1,1,1,2018-03-02
65,856.710999,868.453979,855.20697,1,1,1,1,1,1,2018-03-03
66,853.817017,853.817017,809.93103,1,1,1,1,1,1,2018-03-06
67,816.270996,825.606995,726.546997,1,1,1,1,1,1,2018-03-07
68,752.570007,773.767029,696.169006,1,1,1,1,1,1,2018-03-08
69,730.159973,748.031006,682.695007,1,1,1,1,1,1,2018-03-10
70,685.312012,735.830994,668.122986,1,1,1,1,1,1,2018-03-11
71,724.406006,742.513977,683.268005,1,1,1,1,1,1,2018-03-12
72,691.218994,702.783997,594.099976,1,1,1,1,1,1,2018-03-14
73,551.640015,551.640015,460.088013,1,1,1,1,1,1,2018-03-18
74,546.625977,558.099976,519.122986,1,1,1,1,1,1,2018-03-19
75,556.721985,567.090027,521.203979,1,1,1,1,1,1,2018-03-20
76,559.099976,589.606995,550.572021,1,1,1,1,1,1,2018-03-21
77,562.103027,577.565979,523.088989,1,1,1,1,1,1,2018-03-22
78,522.703003,535.820984,515.658997,1,1,1,1,1,1,2018-03-25
79,524.286987,526.379028,470.440002,1,1,1,1,1,1,2018-03-26
80,489.589996,491.459015,449.971008,1,1,1,1,1,1,2018-03-27
81,450.290985,466.210999,444.860992,1,1,1,1,1,1,2018-03-28
82,448.075012,450.812988,385.812988,1,1,1,1,1,1,2018-03-29
83,385.904999,409.928986,368.632996,1,1,1,1,1,1,2018-03-30
84,395.003998,418.467987,392.953003,1,1,1,1,1,1,2018-03-31
85,379.699005,395.17099,377.592987,1,1,1,1,1,1,2018-04-02
86,379.946991,387.716003,369.81601,1,1,1,1,1,1,2018-04-05
87,382.730988,385.195007,366.911011,1,1,1,1,1,1,2018-04-06
88,385.743011,402.589996,385.60199,1,1,1,1,1,1,2018-04-08
89,399.411011,415.888,393.878998,1,1,1,1,1,1,2018-04-10
90,430.161011,493.058014,417.412994,1,1,1,1,1,1,2018-04-12
91,493.160004,526.469971,482.658997,1,1,1,1,1,1,2018-04-13
92,503.30899,525.09198,503.045013,1,1,1,1,1,1,2018-04-18
93,567.989014,618.715027,560.28302,1,1,1,1,1,1,2018-04-20
94,643.39801,708.875,643.39801,1,1,1,1,1,1,2018-04-24
95,707.062012,707.062012,600.211975,1,1,1,1,1,1,2018-04-25
96,644.645996,691.442017,644.645996,1,1,1,1,1,1,2018-04-28
97,670.463013,674.403015,637.539978,1,1,1,1,1,1,2018-05-01
98,674.075012,688.84198,667.419983,1,1,1,1,1,1,2018-05-02
99,686.591003,784.341003,686.591003,1,1,1,1,1,1,2018-05-03
100,755.008972,774.249023,728.129028,1,1,1,1,1,1,2018-05-08
101,679.877014,691.411011,644.065979,1,1,1,1,1,1,2018-05-12
102,732.732971,742.169983,695.791992,1,1,1,1,1,1,2018-05-14
103,672.10199,695.031006,663.809021,1,1,1,1,1,1,2018-05-18
104,695.072021,715.578003,686.791016,1,1,1,1,1,1,2018-05-19
105,697.922974,723.752991,692.669006,1,1,1,1,1,1,2018-05-20
106,646.669983,651.635986,572.952026,1,1,1,1,1,1,2018-05-23
107,602.140015,617.185974,575.624023,1,1,1,1,1,1,2018-05-25
108,588.52002,590.328003,562.866028,1,1,1,1,1,1,2018-05-27
109,516.14801,572.263977,516.14801,1,1,1,1,1,1,2018-05-29
110,610.262024,611.643005,596.395996,1,1,1,1,1,1,2018-06-06
111,607.687012,616.143982,601.692993,1,1,1,1,1,1,2018-06-07
112,524.856995,536.857971,515.268982,1,1,1,1,1,1,2018-06-11
113,498.018005,501.904999,459.003998,1,1,1,1,1,1,2018-06-13
114,478.381012,523.544983,467.466003,1,1,1,1,1,1,2018-06-14
115,520.47998,521.304993,487.468994,1,1,1,1,1,1,2018-06-15
116,490.414001,503.222992,488.851013,1,1,1,1,1,1,2018-06-16
117,499.459991,507.640991,498.64801,1,1,1,1,1,1,2018-06-17
118,538.505981,541.015015,519.369019,1,1,1,1,1,1,2018-06-20
119,536.447021,543.71698,524.258972,1,1,1,1,1,1,2018-06-21
120,466.273987,479.128998,462.393005,1,1,1,1,1,1,2018-06-23
121,474.768005,475.359009,426.468994,1,1,1,1,1,1,2018-06-24
122,455.936005,470.343994,448.895996,1,1,1,1,1,1,2018-06-25
123,432.243988,444.243011,424.838989,1,1,1,1,1,1,2018-06-27
124,422.587006,441.792999,407.946991,1,1,1,1,1,1,2018-06-29
125,475.385986,483.854004,462.582001,1,1,1,1,1,1,2018-07-03
126,464.151001,481.436005,455.184998,1,1,1,1,1,1,2018-07-04
127,474.356995,479.652008,457.61499,1,1,1,1,1,1,2018-07-06
128,430.740997,442.363007,430.740997,1,1,1,1,1,1,2018-07-13
129,450.424988,480.65799,446.798004,1,1,1,1,1,1,2018-07-16
130,500.838013,513.432983,474.359009,1,1,1,1,1,1,2018-07-18
131,469.307007,469.307007,443.692993,1,1,1,1,1,1,2018-07-20
132,462.437988,470.89801,458.118988,1,1,1,1,1,1,2018-07-22
133,451.135986,481.141998,450.565002,1,1,1,1,1,1,2018-07-24
134,464.009003,473.221985,458.290985,1,1,1,1,1,1,2018-07-27
135,469.678009,471.593994,462.989014,1,1,1,1,1,1,2018-07-28
136,466.826996,467.951996,448.640991,1,1,1,1,1,1,2018-07-30
137,457.244995,457.244995,430.444,1,1,1,1,1,1,2018-07-31
138,433.868988,435.457001,410.463989,1,1,1,1,1,1,2018-08-01
139,420.806,425.033997,410.30899,1,1,1,1,1,1,2018-08-02
140,412.566986,420.549011,399.910004,1,1,1,1,1,1,2018-08-03
141,406.800995,411.404999,376.076996,1,1,1,1,1,1,2018-08-07
142,334.264008,334.264008,308.488007,1,1,1,1,1,1,2018-08-11
143,320.209991,323.550995,284.93399,1,1,1,1,1,1,2018-08-13
144,286.36499,286.36499,254.649994,1,1,1,1,1,1,2018-08-14
145,282.740997,298.476013,280.928009,1,1,1,1,1,1,2018-08-16
146,287.683014,316.170013,287.346008,1,1,1,1,1,1,2018-08-17
147,316.790985,320.446014,286.550995,1,1,1,1,1,1,2018-08-18
148,273.330994,285.970001,273.330994,1,1,1,1,1,1,2018-08-21
149,271.747986,279.54599,271.089996,1,1,1,1,1,1,2018-08-23
150,279.524994,279.524994,272.444,1,1,1,1,1,1,2018-08-26
151,275.350006,285.602997,273.649994,1,1,1,1,1,1,2018-08-27
152,286.648987,297.399994,283.571991,1,1,1,1,1,1,2018-08-28
153,296.162994,297.071014,287.286987,1,1,1,1,1,1,2018-08-29
154,284.119995,284.550995,278.513,1,1,1,1,1,1,2018-08-31
155,295.453003,298.686005,290.925995,1,1,1,1,1,1,2018-09-02
156,286.045013,288.162994,232.330994,1,1,1,1,1,1,2018-09-05
157,231.647995,231.755005,218.123001,1,1,1,1,1,1,2018-09-06
158,217.912003,220.367004,193.259003,1,1,1,1,1,1,2018-09-08
159,198.177002,198.505997,180.595993,1,1,1,1,1,1,2018-09-11
160,247.337006,251.195999,233.809998,1,1,1,1,1,1,2018-09-22
161,228.326996,228.326996,206.490005,1,1,1,1,1,1,2018-09-25
162,215.440002,230.606995,212.654007,1,1,1,1,1,1,2018-09-27
163,221.705002,234.014008,216.078003,1,1,1,1,1,1,2018-09-29
164,231.328995,236.985992,228.445007,1,1,1,1,1,1,2018-09-30
165,233.220001,234.145004,226.945007,1,1,1,1,1,1,2018-10-01
166,220.445999,226.147995,220.089996,1,1,1,1,1,1,2018-10-04
167,227.615005,227.707001,224.494995,1,1,1,1,1,1,2018-10-10
168,225.610001,225.610001,189.283005,1,1,1,1,1,1,2018-10-11
169,199.690994,201.826996,195.242996,1,1,1,1,1,1,2018-10-14
170,195.270004,222.117996,194.158997,1,1,1,1,1,1,2018-10-15
171,210.216995,211.125,205.927994,1,1,1,1,1,1,2018-10-17
172,207.404007,208.470001,201.742996,1,1,1,1,1,1,2018-10-18
173,203.514999,206.222,203.085007,1,1,1,1,1,1,2018-10-20
174,205.173996,206.932007,203.376999,1,1,1,1,1,1,2018-10-22
175,203.356003,206.082001,203.126007,1,1,1,1,1,1,2018-10-27
176,197.649002,198.337997,196.531006,1,1,1,1,1,1,2018-10-31
177,197.537003,203.753998,197.328003,1,1,1,1,1,1,2018-11-01
178,198.981995,201.268997,198.755005,1,1,1,1,1,1,2018-11-02
179,200.740005,200.740005,199.524994,1,1,1,1,1,1,2018-11-03
180,200.158005,211.272003,198.985992,1,1,1,1,1,1,2018-11-04
