,volume,timestamp,price,high,low,open,change,coin
0,19.70M,2022-09-07,0.03718,0.0385,0.03516,0.03684,0.92%,
1,19.70M,2022-09-07,0.03718,0.0385,0.03516,0.03684,0.92%,
2,18.96M,2022-09-06,0.03684,0.04087,0.0367,0.03915,-5.90%,
3,18.96M,2022-09-06,0.03684,0.04087,0.0367,0.03915,-5.90%,
4,21.20M,2022-09-05,0.03915,0.04102,0.03544,0.03742,4.62%,
5,21.20M,2022-09-05,0.03915,0.04102,0.03544,0.03742,4.62%,
6,19.12M,2022-09-04,0.03742,0.03865,0.0366,0.0372,0.48%,
7,23.08M,2022-09-03,0.03724,0.04059,0.0367,0.03847,-3.52%,
8,35.00M,2022-09-02,0.0386,0.0585,0.03535,0.03674,4.89%,
9,35.00M,2022-09-02,0.0386,0.0585,0.03535,0.03674,4.89%,
10,19.27M,2022-09-01,0.0368,0.04022,0.03542,0.0367,0.27%,
11,19.27M,2022-09-01,0.0368,0.04022,0.03542,0.0367,0.27%,
12,5.35M,2022-08-31,0.0367,0.03766,0.03501,0.03743,-1.95%,
13,5.35M,2022-08-31,0.0367,0.03766,0.03501,0.03743,-1.95%,
14,6.55M,2022-08-30,0.03743,0.0406,0.0356,0.03995,-6.31%,
15,13.17M,2022-08-29,0.03995,0.04033,0.03801,0.0386,3.50%,
16,12.30M,2022-08-28,0.0386,0.045,0.03563,0.03642,5.99%,
17,573.24K,2022-08-27,0.03642,0.03931,0.03456,0.03668,-1.06%,
18,627.31K,2022-08-26,0.03681,0.03914,0.03674,0.03891,-5.40%,
19,11.58M,2022-08-25,0.03891,0.04215,0.0389,0.03968,-1.94%,
20,18.95M,2022-08-24,0.03968,0.04303,0.03948,0.04196,-5.43%,
21,20.29M,2022-08-23,0.04196,0.04668,0.0398,0.0401,4.64%,
22,19.74M,2022-08-22,0.0401,0.04336,0.04008,0.04262,-5.91%,
23,21.23M,2022-08-21,0.04262,0.052,0.04095,0.04306,-1.02%,
24,21.23M,2022-08-21,0.04262,0.052,0.04095,0.04306,-1.02%,
25,12.23M,2022-08-20,0.04306,0.04648,0.03942,0.04499,-4.29%,
26,12.23M,2022-08-20,0.04306,0.04648,0.03942,0.04499,-4.29%,
27,26.97M,2022-08-19,0.04499,0.05683,0.0449,0.05461,-17.31%,
28,26.97M,2022-08-19,0.04499,0.05683,0.0449,0.05461,-17.31%,
29,41.20M,2022-08-18,0.05441,0.0715,0.03683,0.03683,47.73%,
30,8.82M,2022-08-17,0.03683,0.03793,0.03573,0.0358,2.82%,
31,7.96M,2022-08-16,0.03582,0.03793,0.03519,0.03754,-4.66%,
32,7.96M,2022-08-16,0.03582,0.03793,0.03519,0.03754,-4.66%,
33,8.60M,2022-08-15,0.03757,0.03904,0.03706,0.03732,0.67%,
34,8.60M,2022-08-15,0.03757,0.03904,0.03706,0.03732,0.67%,
35,7.86M,2022-08-14,0.03732,0.0401,0.03714,0.0394,-5.28%,
36,7.86M,2022-08-14,0.03732,0.0401,0.03714,0.0394,-5.28%,
37,7.16M,2022-08-13,0.0394,0.03958,0.03934,0.0394,0.00%,
38,7.16M,2022-08-13,0.0394,0.03958,0.03934,0.0394,0.00%,
39,4.08M,2022-08-12,0.0394,0.0396,0.03936,0.03942,-0.05%,
40,4.08M,2022-08-12,0.0394,0.0396,0.03936,0.03942,-0.05%,
41,6.69M,2022-08-11,0.03942,0.03969,0.03938,0.03948,-0.15%,
42,6.69M,2022-08-11,0.03942,0.03969,0.03938,0.03948,-0.15%,
43,6.67M,2022-08-10,0.03948,0.04004,0.03922,0.03939,0.23%,
44,6.67M,2022-08-10,0.03948,0.04004,0.03922,0.03939,0.23%,
45,7.34M,2022-08-09,0.03939,0.04157,0.03911,0.04096,-3.83%,
46,7.34M,2022-08-09,0.03939,0.04157,0.03911,0.04096,-3.83%,
47,6.71M,2022-08-08,0.04096,0.04232,0.04056,0.04189,-2.22%,
48,7.01M,2022-08-07,0.04189,0.04264,0.03989,0.04084,2.57%,
49,5.70M,2022-08-06,0.04084,0.04197,0.03908,0.04048,0.89%,
50,5.05M,2022-08-05,0.04048,0.04152,0.0393,0.04033,0.35%,
51,6.49M,2022-08-04,0.04034,0.04493,0.03884,0.0422,-4.38%,
52,5.77M,2022-08-03,0.04219,0.04506,0.03883,0.04064,3.81%,
53,4.81M,2022-08-02,0.04064,0.0418,0.0383,0.03959,2.65%,
54,3.84M,2022-08-01,0.03959,0.0413,0.03802,0.03996,-0.93%,
55,3.85M,2022-07-31,0.03996,0.043,0.03891,0.03979,0.45%,
56,3.69M,2022-07-30,0.03978,0.04234,0.0382,0.03954,0.61%,
57,3.26M,2022-07-29,0.03954,0.04076,0.03878,0.0406,-2.61%,
58,3.11M,2022-07-28,0.0406,0.04306,0.0375,0.03977,2.09%,
59,3.01M,2022-07-27,0.03977,0.04046,0.037,0.03929,1.22%,
60,3.01M,2022-07-26,0.03929,0.04148,0.03891,0.0404,-2.70%,
61,2.74M,2022-07-25,0.04038,0.04274,0.0403,0.04259,-5.19%,
62,3.32M,2022-07-24,0.04259,0.04574,0.04123,0.04224,0.83%,
63,2.74M,2022-07-23,0.04224,0.04342,0.04161,0.0434,-2.36%,
64,1.57M,2022-07-22,0.04326,0.04444,0.04161,0.04351,-0.57%,
65,1.57M,2022-07-22,0.04326,0.04444,0.04161,0.04351,-0.57%,
66,211.74K,2022-07-21,0.04351,0.04452,0.04234,0.04432,-1.83%,
67,211.74K,2022-07-21,0.04351,0.04452,0.04234,0.04432,-1.83%,
68,490.74K,2022-07-20,0.04432,0.04636,0.04303,0.04636,-4.40%,
69,490.74K,2022-07-20,0.04432,0.04636,0.04303,0.04636,-4.40%,
70,901.69K,2022-07-19,0.04636,0.04912,0.04321,0.04321,7.29%,
71,901.69K,2022-07-19,0.04636,0.04912,0.04321,0.04321,7.29%,
72,1.21M,2022-07-18,0.04321,0.048,0.04208,0.0422,2.39%,
73,1.61M,2022-07-17,0.0422,0.04804,0.04,0.04274,-1.26%,
74,360.39K,2022-07-16,0.04274,0.0449,0.04159,0.04336,-1.43%,
75,192.09K,2022-07-15,0.04336,0.04463,0.04194,0.04389,-0.55%,
76,112.67K,2022-07-14,0.0436,0.04415,0.04227,0.04277,1.94%,
77,173.03K,2022-07-13,0.04277,0.04389,0.04165,0.04389,-2.55%,
78,232.26K,2022-07-12,0.04389,0.04724,0.043,0.04441,-1.17%,
79,462.11K,2022-07-11,0.04441,0.04749,0.04356,0.04383,1.32%,
80,368.88K,2022-07-10,0.04383,0.04651,0.04295,0.04462,-1.77%,
81,186.34K,2022-07-09,0.04462,0.04598,0.04403,0.04466,-0.09%,
82,276.87K,2022-07-08,0.04466,0.04576,0.04386,0.04386,1.82%,
83,1.53M,2022-07-07,0.04386,0.05133,0.04151,0.04448,-1.39%,
84,1.31M,2022-07-06,0.04448,0.04944,0.04068,0.04574,-2.75%,
85,455.56K,2022-07-05,0.04574,0.0464,0.04335,0.04582,-0.17%,
86,318.15K,2022-07-04,0.04582,0.04832,0.045,0.04656,-1.59%,
87,222.68K,2022-07-03,0.04656,0.04755,0.04515,0.04598,1.26%,
88,124.91K,2022-07-02,0.04598,0.04712,0.04488,0.04557,0.90%,
89,280.71K,2022-07-01,0.04557,0.04862,0.04557,0.04571,-0.31%,
90,280.71K,2022-07-01,0.04557,0.04862,0.04557,0.04571,-0.31%,
91,110.24K,2022-06-30,0.04571,0.04743,0.0451,0.04721,-3.18%,
92,110.24K,2022-06-30,0.04571,0.04743,0.0451,0.04721,-3.18%,
93,149.18K,2022-06-29,0.04721,0.04855,0.04624,0.04808,-1.81%,
94,149.18K,2022-06-29,0.04721,0.04855,0.04624,0.04808,-1.81%,
95,230.05K,2022-06-28,0.04808,0.04973,0.04628,0.04782,0.54%,
96,230.05K,2022-06-28,0.04808,0.04973,0.04628,0.04782,0.54%,
97,495.01K,2022-06-27,0.04782,0.05,0.0455,0.04904,-2.49%,
