,open,high,low,subjectivity,polarity,compound,negative,neutral,positive
0,316.763,340.177002,316.763,1.0,-0.25,0.9926,0.0,0.831,0.169
1,330.166992,334.963989,327.52301,0.0,0.0,0.0,0.0,1.0,0.0
2,331.980011,349.615997,327.687012,0.0,0.0,0.9638,0.0,0.901,0.099
3,347.401001,371.290985,344.73999,0.0,0.0,0.0,0.0,1.0,0.0
4,367.442993,372.470001,350.692993,0.0,0.0,0.7739,0.0,0.922,0.078
5,412.501007,480.972992,402.757996,1.0,-0.25,0.961,0.0,0.842,0.158
6,475.675995,485.191986,461.053009,1.0,-0.25,0.9823,0.0,0.798,0.202
7,465.973999,472.722992,451.605988,1.0,-0.25,0.9141,0.0,0.943,0.057
8,471.531006,493.404999,468.484985,0.0,0.0,0.0,0.0,1.0,0.0
9,480.518005,482.480011,466.346985,1.0,0.25,0.8402,0.0,0.959,0.041
10,473.281006,522.307007,425.071014,1.0,-0.25,0.7739,0.0,0.961,0.039
11,431.214996,465.497009,401.243011,0.0,0.0,0.0,0.0,1.0,0.0
12,445.209015,472.609009,428.312012,1.0,-0.25,0.4588,0.0,0.976,0.024
13,462.604004,462.708008,420.209991,0.0,0.0,0.7184,0.0,0.969,0.031
14,426.368988,441.397003,414.411011,1.0,-0.25,0.4588,0.0,0.979,0.021
15,700.593994,753.120972,664.989014,1.0,-0.25,0.8159,0.0,0.948,0.052
16,686.192017,718.38501,680.786011,1.0,-0.25,0.9915,0.0,0.848,0.152
17,696.237,735.825012,696.237,0.0,0.0,0.0,0.0,1.0,0.0
18,721.731995,803.927979,689.231018,1.0,-0.25,0.0,0.0,1.0,0.0
19,793.901001,881.94397,785.34198,1.0,-0.25,0.0,0.0,1.0,0.0
20,827.515991,845.062012,756.004028,0.0,0.0,0.9134,0.0,0.892,0.108
21,681.315979,763.89502,679.731018,1.0,-0.25,0.9726,0.0,0.909,0.091
22,698.869995,782.520996,698.869995,1.0,-0.25,0.8668,0.0,0.938,0.062
23,763.369995,786.789978,760.934998,0.0,0.0,0.0,0.0,1.0,0.0
24,762.208008,763.31897,701.187012,1.0,-0.25,0.9325,0.0,0.844,0.156
25,740.388977,770.117004,729.607971,0.0,0.0,0.0,0.0,1.0,0.0
26,712.211975,760.348022,710.119019,1.0,-0.25,0.9776,0.0,0.903,0.097
27,772.346008,914.830017,772.346008,1.0,-0.25,0.9872,0.0,0.859,0.141
28,886.0,974.471008,868.450989,0.0,0.0,0.8516,0.0,0.804,0.196
29,975.75,1075.390015,956.325012,0.0,0.0,0.9406,0.0,0.914,0.086
30,995.153992,1060.709961,994.622009,0.0,0.0,0.0,0.0,1.0,0.0
31,1043.01001,1153.170044,1043.01001,0.0,0.0,0.0,0.0,1.0,0.0
32,1158.26001,1266.930054,1016.049988,0.0,0.0,0.9406,0.0,0.937,0.063
33,1300.339966,1417.380005,1226.599976,1.0,-0.25,0.7739,0.0,0.922,0.078
34,1268.089966,1337.300049,1135.170044,0.0,0.0,0.9945,0.0,0.804,0.196
35,1397.47998,1400.560059,1286.209961,0.0,0.0,0.0,0.0,1.0,0.0
36,1365.209961,1390.589966,1290.599976,0.0,0.0,0.0,0.0,1.0,0.0
37,1292.630005,1292.630005,875.544983,0.0,0.0,0.9742,0.0,0.847,0.153
38,1061.339966,1090.22998,780.921997,1.0,-0.25,0.4588,0.0,0.966,0.034
39,1016.440002,1100.310059,967.758972,1.0,-0.25,0.9638,0.0,0.848,0.152
40,1028.819946,1093.219971,1003.710022,1.0,-0.25,0.8877,0.0,0.92,0.08
41,1044.949951,1167.109985,1044.949951,1.0,-0.25,0.0,0.0,1.0,0.0
42,1155.680054,1155.680054,1021.5,0.0,0.0,0.9325,0.0,0.88,0.12
43,1004.169983,1023.22998,920.539978,1.0,-0.25,0.8402,0.0,0.96,0.04
44,987.47699,1062.439941,965.807983,1.0,-0.25,0.9884,0.0,0.839,0.161
45,1111.780029,1257.77002,1111.780029,1.0,-0.25,0.7184,0.0,0.946,0.054
46,1184.130005,1184.630005,1058.969971,1.0,-0.25,0.9742,0.0,0.907,0.093
47,1119.369995,1161.349976,984.81897,0.0,0.0,0.0,0.0,1.0,0.0
48,919.210999,991.942993,847.690002,1.0,-0.25,0.4588,0.0,0.966,0.034
49,964.666992,969.031982,805.064026,1.0,-0.25,0.9793,0.0,0.904,0.096
50,834.958008,856.645996,644.598999,0.0,0.0,0.9325,0.0,0.879,0.121
51,755.843018,845.085999,755.843018,1.0,-0.25,0.9001,0.0,0.89,0.11
52,818.47998,884.004028,788.833984,1.0,-0.25,0.9879,0.012,0.791,0.197
53,882.46698,917.400024,825.577026,0.0,0.0,0.0,0.0,1.0,0.0
54,859.288025,859.288025,788.221985,0.0,0.0,0.993,0.0,0.821,0.179
55,869.29303,870.708984,828.836975,0.0,0.0,0.0,0.0,1.0,0.0
56,844.278992,926.429016,844.278992,1.0,-0.25,0.9833,0.0,0.877,0.123
57,923.728027,951.947998,911.111023,0.0,0.0,0.8402,0.0,0.883,0.117
58,934.786011,950.005005,917.848022,1.0,-0.25,0.9474,0.0,0.896,0.104
59,921.66803,957.776978,921.554016,1.0,-0.25,0.7184,0.0,0.95,0.05
