,open,high,low,subjectivity,polarity,compound,negative,neutral,positive,timestamp
0,264.1,265,254.4,0,0,0.9517,0,0.793,0.207,7/1/15
1,257.6,261.3,253.1,0,0,0.9517,0,0.839,0.161,7/2/15
2,254.9,256.7,252.4,0,0,0.7184,0,0.846,0.154,7/3/15
3,255.4,261.1,253.4,0,0,0.9567,0,0.881,0.119,7/4/15
4,260.5,274.1,257.6,0,0,0.9325,0,0.889,0.111,7/5/15
5,270.1,277.5,266.5,0,0,0.9858,0,0.778,0.222,7/6/15
6,269.1,271.3,263.2,0,0,0.9638,0,0.882,0.118,7/7/15
7,266.2,273.6,263.2,0,0,0.9567,0,0.771,0.229,7/8/15
8,268.6,272.3,265.1,0,0,0.9517,0,0.882,0.118,7/9/15
9,269.1,297.9,266.9,0,0,0.9141,0,0.895,0.105,7/10/15
10,283.6,298.8,282.3,0,0,0.9141,0,0.924,0.076,7/11/15
11,292,315.9,291.3,0,0,0.9567,0,0.924,0.076,7/12/15
12,310.4,310.9,276.9,0,0,0.9325,0,0.924,0.076,7/13/15
13,290.4,297,285.2,1,1,0.983,0,0.91,0.09,7/14/15
14,287,292.9,283.2,0,0,0.9918,0,0.862,0.138,7/15/15
15,283.4,290.8,273.3,0,0,0.9001,0,0.962,0.038,7/16/15
16,276.6,280.8,271.2,0,0,0.9567,0,0.943,0.057,7/17/15
17,279.6,282.5,243.2,0,0,0.9818,0,0.914,0.086,7/18/15
18,274,277.1,271.9,0,0,0.9325,0,0.954,0.046,7/19/15
19,273.2,278.9,271.8,0,0,0.9776,0,0.912,0.088,7/20/15
20,277.7,281,274.2,0,0,0.983,0,0.87,0.13,7/21/15
21,275.1,277.4,273.1,0,0,0.9928,0,0.88,0.12,7/22/15
22,276.5,277.9,274.5,0,0,0.9776,0,0.907,0.093,7/23/15
23,275.5,289.8,274.3,0,0,0.9891,0,0.912,0.088,7/24/15
24,288.4,291.2,284.7,0,0,0.8402,0,0.966,0.034,7/25/15
25,288.7,293.3,286.8,0,0,0.9922,0,0.861,0.139,7/26/15
26,291.8,295.8,285.4,1,-0.25,0.9719,0,0.872,0.128,7/27/15
27,293,296.7,291.7,1,0.05,0.9638,0,0.945,0.055,7/28/15
28,293.7,294.7,286.9,0,0,0.9742,0,0.903,0.097,7/29/15
29,283.7,284.5,276.3,0,0,0.9001,0,0.931,0.069,8/1/15
30,281.4,285,278.9,1,1,0.9638,0,0.935,0.065,8/3/15
31,281.6,285.7,279.6,0,0,0.9818,0,0.915,0.085,8/4/15
32,284.3,285.5,280.5,1,1,0.983,0,0.897,0.103,8/5/15
33,281.7,282,276.5,1,1,0.9638,0,0.907,0.093,8/6/15
34,278,279.6,274.3,1,1,0.9982,0,0.896,0.104,8/7/15
35,277.9,278.9,257.4,1,0.75,0.9975,0,0.859,0.141,8/8/15
36,258.6,266.8,258.6,0,0,0.9982,0,0.894,0.106,8/9/15
37,263.9,266.6,260.5,0,0,0.991,0,0.867,0.133,8/10/15
38,263.3,269.9,261.4,0,0,0.9818,0,0.885,0.115,8/11/15
39,269,271.5,263.7,1,0.525,0.988,0,0.884,0.116,8/12/15
40,267.7,268.4,261.3,1,1,0.9849,0,0.901,0.099,8/13/15
41,263.4,267.2,260.2,1,-0.25,0.9966,0,0.882,0.118,8/14/15
42,265,266.5,259.4,0,0,0.9858,0,0.899,0.101,8/15/15
43,260.5,261.9,254.6,0,0,0.4588,0,0.938,0.062,8/16/15
44,257.1,259.9,252.9,0,0,0.9918,0,0.899,0.101,8/17/15
45,257.1,257.5,245.7,0,0,0.9325,0,0.949,0.051,8/18/15
46,246.7,247.9,214.3,1,1,0.9001,0,0.959,0.041,8/19/15
47,226,238,225.5,0,0,0.9818,0,0.885,0.115,8/20/15
48,234.7,236.3,230.5,0,0,0.7184,0,0.976,0.024,8/21/15
